LEAID	LEA_NAME	ST_NAME	LEA_CWIFTEST	LEA_CWIFTSE
0103150	Talladega City School District	Alabama	0.824	0.065
0103180	Talladega County School District	Alabama	0.824	0.065
0103210	Tallapoosa County School District	Alabama	0.742	0.055
0103240	Tallassee City School District	Alabama	0.813	0.031
0103270	Tarrant City School District	Alabama	0.916	0.009
0103300	Thomasville City School District	Alabama	0.77	0.043
0103330	Troy City School District	Alabama	0.827	0.033
0103360	Tuscaloosa City School District	Alabama	0.875	0.022
0103390	Tuscaloosa County School District	Alabama	0.875	0.022
0103420	Tuscumbia City School District	Alabama	0.806	0.037
0103430	Vestavia Hills City School District	Alabama	0.916	0.009
0103450	Walker County School District	Alabama	0.799	0.037
0103480	Washington County School District	Alabama	0.77	0.043
0103510	Wilcox County School District	Alabama	0.778	0.035
0103540	Winfield City School District	Alabama	0.77	0.029
0103580	Winston County School District	Alabama	0.741	0.037
0200001	Lower Kuskokwim School District	Alaska	0.91	0.052
0200003	Lower Yukon School District	Alaska	0.91	0.052
0200004	Yupiit School District	Alaska	0.91	0.052
0200005	Kashunamiut School District	Alaska	0.91	0.052
0200007	Aleutians East Borough School District	Alaska	0.91	0.052
0200010	Aleutian Region School District	Alaska	0.91	0.052
0200020	Bering Strait School District	Alaska	1.033	0.065
0200030	Bristol Bay Borough School District	Alaska	0.91	0.052
0200050	Alaska Gateway School District	Alaska	0.996	0.069
0200060	Cordova City School District	Alaska	0.996	0.069
0200070	Copper River School District	Alaska	0.996	0.069
0200090	Craig City School District	Alaska	0.945	0.075
0200100	Delta/Greely School District	Alaska	0.996	0.069
0200120	Dillingham City School District	Alaska	0.91	0.052
0200130	Galena City School District	Alaska	0.996	0.069
0200150	Ketchikan Gateway Borough School District	Alaska	0.909	0.035
0200180	Anchorage School District	Alaska	1.05	0.016
0200210	Juneau Borough School District	Alaska	0.97	0.042
0200240	Sitka School District	Alaska	0.965	0.06
0200270	Haines Borough School District	Alaska	0.945	0.075
0200300	Hoonah City School District	Alaska	0.945	0.075
0200330	Hydaburg City School District	Alaska	0.945	0.075
0200360	Kake City School District	Alaska	0.945	0.075
0200390	Kenai Peninsula Borough School District	Alaska	0.889	0.032
0200450	Klawock City School District	Alaska	0.945	0.075
0200480	Kodiak Island Borough School District	Alaska	0.91	0.052
0200485	Lake and Peninsula Borough School District	Alaska	0.91	0.052
0200510	Matanuska-Susitna Borough School District	Alaska	0.996	0.033
0200520	Iditarod Area School District	Alaska	0.993	0.067
0200525	Annette Island School District	Alaska	0.945	0.075
0200540	Nenana City School District	Alaska	0.996	0.069
0200570	Nome School District	Alaska	1.033	0.065
0200600	Fairbanks North Star Borough School District	Alaska	0.95	0.028
0200610	North Slope Borough School District	Alaska	1.033	0.065
0200625	Northwest Arctic Borough School District	Alaska	1.033	0.065
0200630	Pelican City School District	Alaska	0.945	0.075
0200660	Petersburg Borough School District	Alaska	0.945	0.075
0200670	Pribilof School District	Alaska	0.91	0.052
0200680	St. Marys City School District	Alaska	0.91	0.052
0200690	Skagway School District	Alaska	0.945	0.075
0200700	Southeast Island School District	Alaska	0.945	0.075
0200710	Southwest Region School District	Alaska	0.91	0.052
0200715	Tanana City School District	Alaska	0.996	0.069
0200720	Unalaska City School District	Alaska	0.91	0.052
0200730	Chatham School District	Alaska	0.945	0.075
0200760	Kuspuk School District	Alaska	0.91	0.052
0200770	Denali Borough School District	Alaska	0.996	0.069
0200775	Yukon Flats School District	Alaska	0.996	0.069
0200780	Valdez City School District	Alaska	0.996	0.069
0200800	Chugach School District	Alaska	0.996	0.069
0200810	Wrangell School District	Alaska	0.909	0.035
0200840	Yakutat School District	Alaska	0.996	0.069
0200862	Yukon-Koyukuk School District	Alaska	0.996	0.069
0400001	Cave Creek Unified District	Arizona	0.974	0.005
0400003	Chino Valley Unified District	Arizona	0.9	0.025
0400004	Clarkdale-Jerome Elementary District	Arizona	0.9	0.025
0400005	Salome Consolidated Elementary District	Arizona	0.863	0.032
0400021	Colorado City Unified District	Arizona	0.863	0.032
0400022	Vernon Elementary District	Arizona	0.822	0.043
0400023	Piñon Unified District	Arizona	0.822	0.043
0400026	Heber-Overgaard Unified District	Arizona	0.822	0.043
0400082	Colorado River Union High School District	Arizona	0.863	0.032
0400212	Benson Unified School District	Arizona	0.891	0.027
0400295	Kingman Unified School District	Arizona	0.863	0.032
0400450	Agua Fria Union High School District	Arizona	0.974	0.005
0400480	Aguila Elementary District	Arizona	0.974	0.005
0400520	Ajo Unified District	Arizona	0.897	0.008
0400600	Alhambra Elementary District	Arizona	0.974	0.005
0400630	Alpine Elementary District	Arizona	0.822	0.043
0400680	Amphitheater Unified District	Arizona	0.897	0.008
0400720	Antelope Union High School District	Arizona	0.882	0.035
0400750	Apache Elementary District	Arizona	0.891	0.027
0400790	Apache Junction Unified District	Arizona	0.9	0.025
0400840	Arlington Elementary District	Arizona	0.974	0.005
0400870	Ash Creek Elementary District	Arizona	0.891	0.027
0400910	Ash Fork Joint Unified District	Arizona	0.925	0.018
0400960	Avondale Elementary District	Arizona	0.974	0.005
0401000	Bagdad Unified School District	Arizona	0.9	0.025
0401050	Balsz Elementary District	Arizona	0.974	0.005
0401080	Beaver Creek Elementary District	Arizona	0.9	0.025
0401160	Bicentennial Union High School District	Arizona	0.863	0.032
0401180	Bisbee Unified District	Arizona	0.891	0.027
0401230	Blue Elementary District	Arizona	0.766	0.055
0401260	Bonita Elementary District	Arizona	0.766	0.055
0401290	Bouse Elementary District	Arizona	0.863	0.032
0401330	Bowie Unified District	Arizona	0.891	0.027
0401380	Buckeye Elementary District	Arizona	0.974	0.005
0401410	Buckeye Union High School District	Arizona	0.974	0.005
0401460	Sierra Vista Unified District	Arizona	0.891	0.027
0401500	Bullhead City School District	Arizona	0.863	0.032
0401600	Camp Verde Unified District	Arizona	0.9	0.025
0401650	Cañon Elementary District	Arizona	0.9	0.025
0401680	Cartwright Elementary District	Arizona	0.974	0.005
0401710	Casa Grande Elementary District	Arizona	0.9	0.025
0401740	Casa Grande Union High School District	Arizona	0.9	0.025
0401760	Catalina Foothills Unified District	Arizona	0.897	0.008
0401810	Cedar Unified District	Arizona	0.822	0.043
0401870	Chandler Unified District	Arizona	0.974	0.005
0401920	Chevelon Butte School District	Arizona	0.941	0.024
0401940	Chinle Unified District	Arizona	0.822	0.043
0402130	Cochise Elementary District	Arizona	0.891	0.027
0402190	Concho Elementary District	Arizona	0.822	0.043
0402220	Congress Elementary District	Arizona	0.9	0.025
0402250	Continental Elementary District	Arizona	0.897	0.008
0402320	Coolidge Unified District	Arizona	0.9	0.025
0402370	Cottonwood-Oak Creek Elementary District	Arizona	0.9	0.025
0402400	Crane Elementary District	Arizona	0.882	0.035
0402430	Creighton Elementary District	Arizona	0.974	0.005
0402460	Crown King Elementary District	Arizona	0.9	0.025
0402490	Double Adobe Elementary District	Arizona	0.891	0.027
0402530	Douglas Unified District	Arizona	0.891	0.027
0402600	Duncan Unified District	Arizona	0.766	0.055
0402690	Dysart Unified District	Arizona	0.974	0.005
0402710	Eagle Elementary District	Arizona	0.766	0.055
0402760	Elfrida Elementary District	Arizona	0.891	0.027
0402790	Eloy Elementary District	Arizona	0.9	0.025
0402820	Empire Elementary District	Arizona	0.897	0.008
0402860	Flagstaff Unified District	Arizona	0.941	0.024
0402920	Florence Unified School District	Arizona	0.9	0.025
0403010	Flowing Wells Unified District	Arizona	0.897	0.008
0403040	Fountain Hills Unified District	Arizona	0.974	0.005
0403060	Fowler Elementary District	Arizona	0.974	0.005
0403080	Fredonia-Moccasin Unified District	Arizona	0.912	0.017
0403150	Fort Huachuca Accommodation District	Arizona	0.891	0.027
0403200	Fort Thomas Unified District	Arizona	0.766	0.055
